Protein Group,Protein ID,Accession,Significance,-10lgP,Si5B-Heavy-Hypoxia : Heavy_Area,Si5B-Heavy-Hypoxia : Light_Area,SiCTL-Heavy-Hypoxia : Heavy_Area,SiCTL-Heavy-Hypoxia : Light_Area,SiCTL-Heavy-Normoxia : Heavy_Area,SiCTL-Heavy-Normoxia : Light_Area,Ratio Si5B-Heavy-Hypoxia : Heavy,Ratio Si5B-Heavy-Hypoxia : Light,Ratio SiCTL-Heavy-Hypoxia : Heavy,Ratio SiCTL-Heavy-Hypoxia : Light,Ratio SiCTL-Heavy-Normoxia : Heavy,Ratio SiCTL-Heavy-Normoxia : Light,Group 1(Si5B-Heavy-Hypoxia : Heavy; Si5B-Heavy-Hypoxia : Light)_Area,Group 3(SiCTL-Heavy-Hypoxia : Heavy; SiCTL-Heavy-Hypoxia : Light)_Area,Group 5(SiCTL-Heavy-Normoxia : Heavy; SiCTL-Heavy-Normoxia : Light)_Area,Ratio Group 1(Si5B-Heavy-Hypoxia : Heavy; Si5B-Heavy-Hypoxia : Light),Ratio Group 3(SiCTL-Heavy-Hypoxia : Heavy; SiCTL-Heavy-Hypoxia : Light),Ratio Group 5(SiCTL-Heavy-Normoxia : Heavy; SiCTL-Heavy-Normoxia : Light),Max Ratio,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description,pSILAC H/N ratio,pSILAC Si5B/CTL Hyp ratio,Total H/N ratio,Total Si5B/CTL Hyp ratio,Accession,Gene Name,Species
132,11270,sp|Q9Y281|COF2_HUMAN,1.97,219.98,2.00E+07,1.06E+08,8.58E+06,7.00E+07,1.71E+07,5.00E+07,1,5.3,0.43,3.51,0.85,2.5,6.29E+07,3.93E+07,3.35E+07,1,0.62,0.53,1.88,61,28,10,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,18737,Cofilin-2 OS=Homo sapiens GN=CFL2 PE=1 SV=1,0.50,2.33,1.17,1.60,Q9Y281,COF2,HUMAN
1603,12956,sp|Q5T0F9|C2D1B_HUMAN,6.02,69.68,5.79E+06,1.55E+07,1.21E+05,2.42E+06,1.37E+06,2.66E+06,1,2.67,0.02,0.42,0.24,0.46,1.06E+07,1.27E+06,2.01E+06,1,0.12,0.19,8.36,8,3,3,Deamidation (NQ); 13C(6) 15N(4) Silac label,94224,Coiled-coil and C2 domain-containing protein 1B OS=Homo sapiens GN=CC2D1B PE=1 SV=1,0.09,47.76,0.63,8.36,Q5T0F9,C2D1B,HUMAN
1771,12435,sp|Q567U6|CCD93_HUMAN,2.78,99.41,1.76E+06,2.89E+06,3.06E+05,3.94E+06,2.34E+05,8.94E+05,1,1.64,0.17,2.24,0.13,0.51,2.33E+06,2.12E+06,5.64E+05,1,0.91,0.24,4.13,12,7,7,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,73198,Coiled-coil domain-containing protein 93 OS=Homo sapiens GN=CCDC93 PE=1 SV=2,1.31,5.77,3.77,1.10,Q567U6,CCD93,HUMAN
857,11742,sp|O75534|CSDE1_HUMAN,3.02,124.04,1.62E+07,1.19E+07,7.86E+06,6.85E+06,2.37E+07,2.08E+07,1,0.73,0.48,0.42,1.46,1.28,1.41E+07,7.35E+06,2.22E+07,1,0.52,1.58,3.02,14,12,12,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,88885,Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2,0.33,2.07,0.33,1.91,O75534,CSDE1,HUMAN
1443,12183,sp|Q7Z4G1|COMD6_HUMAN,4.94,85.92,4.61E+06,8.69E+06,7.03E+05,1.63E+06,3.42E+06,6.40E+06,1,1.89,0.15,0.35,0.74,1.39,6.65E+06,1.17E+06,4.91E+06,1,0.18,0.74,5.69,84,6,6,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,9638,COMM domain-containing protein 6 OS=Homo sapiens GN=COMMD6 PE=1 SV=1,0.21,6.55,0.24,5.69,Q7Z4G1,COMD6,HUMAN
1051,11602,sp|Q15021|CND1_HUMAN,3.1,148.86,1.64E+07,2.11E+07,3.32E+06,8.92E+06,1.14E+07,1.28E+07,1,1.29,0.2,0.54,0.69,0.78,1.88E+07,6.12E+06,1.21E+07,1,0.33,0.64,3.07,8,8,8,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,157182,Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3,0.29,4.94,0.51,3.07,Q15021,CND1,HUMAN
1800,12919,sp|Q15003|CND2_HUMAN,3.84,96.98,8.18E+05,4.42E+06,2.93E+05,2.96E+06,6.72E+06,9.21E+06,1,5.4,0.36,3.62,8.21,11.25,2.62E+06,1.63E+06,7.96E+06,1,0.62,3.04,4.89,13,7,7,Carbamidomethylation; 13C(6) 15N(4) Silac label,82563,Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH PE=1 SV=3,0.04,2.79,0.20,1.61,Q15003,CND2,HUMAN
2166,12446,sp|Q9H9E3|COG4_HUMAN,1.03,73.52,1.02E+06,1.24E+06,4.70E+05,7.50E+05,4.85E+05,1.19E+06,1,1.22,0.46,0.74,0.48,1.17,1.13E+06,6.10E+05,8.39E+05,1,0.54,0.74,1.85,5,3,3,13C(6) 15N(4) Silac label,89083,Conserved oligomeric Golgi complex subunit 4 OS=Homo sapiens GN=COG4 PE=1 SV=3,0.97,2.17,0.73,1.85,Q9H9E3,COG4,HUMAN
748,11432,sp|Q9NZB2|F120A_HUMAN,5.77,140.14,1.01E+07,9.33E+07,1.43E+06,1.38E+07,4.60E+06,1.16E+07,1,9.22,0.14,1.36,0.45,1.15,5.17E+07,7.59E+06,8.10E+06,1,0.15,0.16,6.81,21,15,15,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,121888,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A PE=1 SV=2,0.31,7.10,0.94,6.81,Q9NZB2,F120A,HUMAN
1200,12791,sp|Q13098|CSN1_HUMAN,1.42,82.31,1.71E+06,1.05E+07,5.48E+05,9.19E+06,4.37E+06,1.41E+07,1,6.12,0.32,5.36,2.55,8.21,6.10E+06,4.87E+06,9.22E+06,1,0.8,1.51,1.89,22,7,7,Carbamidomethylation; 13C(6) 15N(4) Silac label,55537,COP9 signalosome complex subunit 1 OS=Homo sapiens GN=GPS1 PE=1 SV=4,0.13,3.13,0.53,1.25,Q13098,CSN1,HUMAN
1137,13030,sp|O75131|CPNE3_HUMAN,2.49,97.95,3.68E+06,2.01E+07,1.65E+06,1.25E+07,1.30E+07,2.71E+07,1,5.47,0.45,3.4,3.54,7.36,1.19E+07,7.08E+06,2.01E+07,1,0.59,1.69,2.83,10,6,6,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,60131,Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,0.13,2.23,0.35,1.68,O75131,CPNE3,HUMAN
941,12813,sp|O00244|ATOX1_HUMAN,2.65,113.94,1.77E+07,6.70E+07,8.69E+06,3.92E+07,1.31E+07,2.33E+07,1,3.79,0.49,2.22,0.74,1.32,4.23E+07,2.40E+07,1.82E+07,1,0.57,0.43,2.32,63,5,5,Carbamidomethylation; 13C(6) 15N(2) Silac label,7402,Copper transport protein ATOX1 OS=Homo sapiens GN=ATOX1 PE=1 SV=1,0.66,2.03,1.32,1.77,O00244,ATOX1,HUMAN
1506,11992,sp|P57737|CORO7_HUMAN,5.24,95.8,6.21E+05,2.75E+06,3.32E+04,7.12E+05,1.49E+06,4.62E+06,1,4.43,0.05,1.15,2.4,7.45,1.69E+06,3.73E+05,3.06E+06,1,0.22,1.81,8.2,12,8,8,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,100605,Coronin-7 OS=Homo sapiens GN=CORO7 PE=1 SV=2,0.02,18.71,0.12,4.52,P57737,CORO7,HUMAN
2346,12415,sp|Q13616|CUL1_HUMAN,3.09,85.37,7.11E+05,1.83E+06,0,4.92E+05,5.47E+05,1.23E+06,1,2.57,0,0.69,0.77,1.73,1.27E+06,2.46E+05,8.87E+05,1,0.19,0.7,5.16,8,4,4,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,89678,Cullin-1 OS=Homo sapiens GN=CUL1 PE=1 SV=2,0.00,#DIV/0!,0.28,5.16,Q13616,CUL1,HUMAN
1326,12041,sp|Q13620|CUL4B_HUMAN,3.84,106.99,1.66E+06,3.01E+06,3.37E+05,6.42E+05,1.64E+06,1.55E+06,1,1.82,0.2,0.39,0.99,0.93,2.33E+06,4.89E+05,1.59E+06,1,0.21,0.68,4.76,8,8,5,Deamidation (NQ); 13C(6) 15N(2) Silac label,103982,Cullin-4B OS=Homo sapiens GN=CUL4B PE=1 SV=4,0.21,4.92,0.31,4.77,Q13620,CUL4B,HUMAN
649,11723,sp|P06493|CDK1_HUMAN,4.39,117.71,2.99E+07,1.04E+07,4.65E+06,5.07E+06,2.85E+07,1.06E+07,1,0.35,0.16,0.17,0.95,0.35,2.02E+07,4.86E+06,1.96E+07,1,0.24,0.97,4.15,35,12,10,Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,34095,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3,0.16,6.43,0.25,4.15,P06493,CDK1,HUMAN
2377,13487,sp|Q9UQ88|CD11A_HUMAN,2.18,35.73,1.23E+05,5.95E+05,2.77E+04,8.77E+04,4.35E+05,6.24E+05,1,4.84,0.23,0.71,3.54,5.09,3.59E+05,5.77E+04,5.30E+05,1,0.16,1.48,9.18,3,2,2,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,91362,Cyclin-dependent kinase 11A OS=Homo sapiens GN=CDK11A PE=1 SV=4,0.06,4.44,0.11,6.22,Q9UQ88,CD11A,HUMAN
2377,13484,sp|P21127|CD11B_HUMAN,2.18,35.73,1.23E+05,5.95E+05,2.77E+04,8.77E+04,4.35E+05,6.24E+05,1,4.84,0.23,0.71,3.54,5.09,3.59E+05,5.77E+04,5.30E+05,1,0.16,1.48,9.18,3,2,2,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,92707,Cyclin-dependent kinase 11B OS=Homo sapiens GN=CDK11B PE=1 SV=3,0.06,4.44,0.11,6.22,P21127,CD11B,HUMAN
2269,13350,sp|O14976|GAK_HUMAN,1.82,37.02,3.13E+05,4.92E+05,1.12E+05,2.71E+05,9.71E+05,1.18E+06,1,1.57,0.36,0.86,3.1,3.76,4.03E+05,1.91E+05,1.08E+06,1,0.47,2.67,5.63,1,2,2,Carbamidomethylation; 13C(6) 15N(4) Silac label,143190,Cyclin-G-associated kinase OS=Homo sapiens GN=GAK PE=1 SV=2,0.12,2.80,0.18,2.11,O14976,GAK,HUMAN
540,11685,sp|P21291|CSRP1_HUMAN,1.71,170.25,3.26E+07,4.62E+07,1.58E+07,3.86E+07,1.25E+07,2.30E+07,1,1.42,0.48,1.18,0.38,0.7,3.94E+07,2.72E+07,1.77E+07,1,0.69,0.45,2.22,67,13,13,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,20567,Cysteine and glycine-rich protein 1 OS=Homo sapiens GN=CSRP1 PE=1 SV=3,1.26,2.07,1.53,1.45,P21291,CSRP1,HUMAN
1561,12983,sp|Q9UHD1|CHRD1_HUMAN,2.14,86.47,9.00E+06,1.74E+07,4.93E+05,9.51E+06,4.91E+06,1.70E+07,1,1.94,0.05,1.06,0.55,1.89,1.32E+07,5.00E+06,1.09E+07,1,0.38,0.83,2.64,24,7,7,Carbamidomethylation,37490,Cysteine and histidine-rich domain-containing protein 1 OS=Homo sapiens GN=CHORDC1 PE=1 SV=2,0.10,18.26,0.46,2.64,Q9UHD1,CHRD1,HUMAN
1495,14084,sp|Q9NYJ1|COA4_HUMAN,1.07,41.65,2.63E+06,5.77E+06,4.21E+05,2.29E+06,1.42E+06,2.08E+06,1,2.19,0.16,0.87,0.54,0.79,4.20E+06,1.35E+06,1.75E+06,1,0.32,0.42,3.11,41,2,2,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,10134,Cytochrome c oxidase assembly factor 4 homolog  mitochondrial OS=Homo sapiens GN=COA4 PE=1 SV=2,0.30,6.26,0.77,3.11,Q9NYJ1,COA4,HUMAN
640,11356,sp|P21399|ACOC_HUMAN,3.26,169.57,2.50E+07,1.21E+08,9.96E+06,8.49E+07,1.95E+07,3.05E+07,1,4.86,0.4,3.4,0.78,1.22,7.31E+07,4.74E+07,2.50E+07,1,0.65,0.34,2.93,31,24,24,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,98399,Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3,0.51,2.50,1.90,1.54,P21399,ACOC,HUMAN
92,11002,sp|Q14204|DYHC1_HUMAN,3.79,322.25,2.88E+08,8.25E+08,1.37E+08,7.50E+08,1.14E+08,3.31E+08,1,2.87,0.47,2.6,0.39,1.15,5.56E+08,4.43E+08,2.22E+08,1,0.8,0.4,2.5,33,132,132,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,532412,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5,1.20,2.11,1.99,1.26,Q14204,DYHC1,HUMAN
718,11593,sp|O43237|DC1L2_HUMAN,1.55,134.64,9.36E+06,2.27E+07,3.14E+06,1.45E+07,7.06E+06,1.36E+07,1,2.43,0.34,1.55,0.75,1.46,1.60E+07,8.81E+06,1.04E+07,1,0.55,0.65,1.82,33,14,14,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,54099,Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens GN=DYNC1LI2 PE=1 SV=1,0.44,2.98,0.85,1.82,O43237,DC1L2,HUMAN
1532,12757,sp|Q07065|CKAP4_HUMAN,5.24,141.03,6.74E+06,1.57E+06,2.77E+06,6.94E+06,0,0,1,0.23,0.41,1.03,0,0,4.16E+06,4.85E+06,0,1,1.17,0,256,26,9,9,Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,66023,Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2,#DIV/0!,2.43,#DIV/0!,0.86,Q07065,CKAP4,HUMAN
862,11542,sp|Q14008|CKAP5_HUMAN,2.92,122.6,1.36E+07,1.81E+07,3.07E+06,6.84E+06,1.47E+07,1.11E+07,1,1.33,0.23,0.5,1.08,0.81,1.58E+07,4.95E+06,1.29E+07,1,0.31,0.81,3.2,14,19,19,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,225493,Cytoskeleton-associated protein 5 OS=Homo sapiens GN=CKAP5 PE=1 SV=3,0.21,4.43,0.38,3.20,Q14008,CKAP5,HUMAN
1718,12341,sp|O00154|BACH_HUMAN,0.66,107.35,1.22E+06,1.32E+07,3.06E+05,1.06E+07,4.35E+06,5.43E+06,1,10.8,0.25,8.64,3.55,4.44,7.22E+06,5.44E+06,4.89E+06,1,0.75,0.68,1.48,22,6,6,Carbamidomethylation,41796,Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3,0.07,3.99,1.11,1.33,O00154,BACH,HUMAN
444,11223,sp|Q96KP4|CNDP2_HUMAN,0.99,192.3,2.47E+07,1.17E+08,7.68E+06,9.40E+07,3.36E+07,7.08E+07,1,4.73,0.31,3.81,1.36,2.87,7.07E+07,5.08E+07,5.22E+07,1,0.72,0.74,1.39,51,25,25,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,52879,Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2,0.23,3.21,0.97,1.39,Q96KP4,CNDP2,HUMAN
2252,12730,sp|Q5M775|CYTSB_HUMAN,4.23,68.38,2.60E+06,1.09E+07,2.82E+05,1.41E+06,5.45E+05,7.39E+05,1,4.17,0.11,0.54,0.21,0.28,6.73E+06,8.43E+05,6.42E+05,1,0.13,0.1,10.48,4,3,3,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,118585,Cytospin-B OS=Homo sapiens GN=SPECC1 PE=1 SV=1,0.52,9.24,1.31,7.98,Q5M775,CYTSB,HUMAN
1265,12611,sp|Q96EP5|DAZP1_HUMAN,2.81,122.3,2.04E+06,1.74E+07,3.81E+05,6.94E+06,1.40E+06,3.96E+06,1,8.56,0.19,3.41,0.69,1.95,9.73E+06,3.66E+06,2.68E+06,1,0.38,0.28,3.63,19,5,5,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,43383,DAZ-associated protein 1 OS=Homo sapiens GN=DAZAP1 PE=1 SV=1,0.27,5.35,1.37,2.66,Q96EP5,DAZP1,HUMAN
865,12789,sp|Q9H773|DCTP1_HUMAN,1.85,84.04,1.05E+07,4.71E+07,9.37E+05,3.02E+07,1.53E+07,3.71E+07,1,4.47,0.09,2.87,1.45,3.52,2.88E+07,1.55E+07,2.62E+07,1,0.54,0.91,1.85,44,5,5,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,18681,dCTP pyrophosphatase 1 OS=Homo sapiens GN=DCTPP1 PE=1 SV=1,0.06,11.23,0.59,1.85,Q9H773,DCTP1,HUMAN
1833,12035,sp|Q96BY6|DOC10_HUMAN,6.24,129.33,5.13E+06,2.44E+06,8.28E+04,1.77E+06,1.17E+05,1.95E+05,1,0.48,0.02,0.34,0.02,0.04,3.78E+06,9.25E+05,1.56E+05,1,0.24,0.04,24.2,4,6,6,Carbamidomethylation; 13C(6) 15N(4) Silac label,249529,Dedicator of cytokinesis protein 10 OS=Homo sapiens GN=DOCK10 PE=1 SV=3,0.71,61.94,5.92,4.09,Q96BY6,DOC10,HUMAN
2537,13050,sp|P13716|HEM2_HUMAN,2.41,49.31,1.39E+07,4.88E+06,2.86E+05,1.23E+06,4.82E+05,1.05E+06,1,0.35,0.02,0.09,0.03,0.08,9.38E+06,7.57E+05,7.67E+05,1,0.08,0.08,12.38,9,2,2,,36295,Delta-aminolevulinic acid dehydratase OS=Homo sapiens GN=ALAD PE=1 SV=1,0.59,48.56,0.99,12.38,P13716,HEM2,HUMAN
1141,12681,sp|P27707|DCK_HUMAN,3.34,82.38,3.59E+07,1.32E+07,3.19E+06,1.01E+07,8.31E+06,1.42E+07,1,0.37,0.09,0.28,0.23,0.39,2.46E+07,6.63E+06,1.13E+07,1,0.27,0.46,3.71,14,4,4,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,30519,Deoxycytidine kinase OS=Homo sapiens GN=DCK PE=1 SV=1,0.38,11.28,0.59,3.71,P27707,DCK,HUMAN
1674,12301,sp|P32321|DCTD_HUMAN,1.07,105.91,4.13E+06,1.41E+07,1.71E+06,1.41E+07,4.70E+06,7.27E+06,1,3.42,0.41,3.4,1.14,1.76,9.13E+06,7.89E+06,5.99E+06,1,0.86,0.66,1.53,39,4,4,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,20016,Deoxycytidylate deaminase OS=Homo sapiens GN=DCTD PE=1 SV=2,0.36,2.41,1.32,1.16,P32321,DCTD,HUMAN
2427,13118,sp|P49366|DHYS_HUMAN,2.32,56.84,1.81E+07,2.40E+06,1.24E+06,1.44E+06,1.34E+06,3.32E+06,1,0.13,0.07,0.08,0.07,0.18,1.03E+07,1.34E+06,2.33E+06,1,0.13,0.23,7.67,8,2,2,13C(6) 15N(2) Silac label,40971,Deoxyhypusine synthase OS=Homo sapiens GN=DHPS PE=1 SV=1,0.92,14.68,0.57,7.67,P49366,DHYS,HUMAN
360,11668,sp|P33316|DUT_HUMAN,2.5,155.68,8.15E+07,8.40E+07,3.55E+07,7.98E+07,1.41E+08,1.30E+08,1,1.03,0.44,0.98,1.73,1.59,8.27E+07,5.77E+07,1.35E+08,1,0.7,1.63,2.35,48,15,15,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,26563,Deoxyuridine 5'-triphosphate nucleotidohydrolase  mitochondrial OS=Homo sapiens GN=DUT PE=1 SV=4,0.25,2.29,0.43,1.44,P33316,DUT,HUMAN
2064,12707,sp|P55039|DRG2_HUMAN,2.57,71.13,8.32E+05,6.64E+06,1.19E+05,4.94E+06,6.83E+05,1.50E+06,1,7.97,0.14,5.93,0.82,1.8,3.73E+06,2.53E+06,1.09E+06,1,0.68,0.29,3.42,16,5,5,,40746,Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens GN=DRG2 PE=1 SV=1,0.17,7.00,2.32,1.48,P55039,DRG2,HUMAN
842,11780,sp|P09622|DLDH_HUMAN,1.72,164.06,4.56E+06,1.01E+07,1.17E+06,2.66E+07,5.41E+06,1.77E+07,1,2.22,0.26,5.84,1.19,3.88,7.34E+06,1.39E+07,1.16E+07,1,1.89,1.57,1.89,29,11,11,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,54177,Dihydrolipoyl dehydrogenase  mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2,0.22,3.91,1.20,0.53,P09622,DLDH,HUMAN
668,11589,sp|P09417|DHPR_HUMAN,0.26,175.05,1.33E+07,8.25E+07,6.56E+06,9.88E+07,2.69E+07,7.11E+07,1,6.19,0.49,7.41,2.02,5.33,4.79E+07,5.27E+07,4.90E+07,1,1.1,1.02,1.1,59,12,12,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,25790,Dihydropteridine reductase OS=Homo sapiens GN=QDPR PE=1 SV=2,0.24,2.03,1.08,0.91,P09417,DHPR,HUMAN
2491,14018,sp|Q9UHL4|DPP2_HUMAN,0.28,40.99,4.34E+05,5.79E+05,1.86E+05,5.33E+05,2.89E+05,4.70E+05,1,1.33,0.43,1.23,0.67,1.08,5.07E+05,3.60E+05,3.80E+05,1,0.71,0.75,1.41,7,2,2,Carbamidomethylation; 13C(6) 15N(4) Silac label,54342,Dipeptidyl peptidase 2 OS=Homo sapiens GN=DPP7 PE=1 SV=3,0.64,2.33,0.95,1.41,Q9UHL4,DPP2,HUMAN
2059,12548,sp|P98082|DAB2_HUMAN,4.15,77.82,1.92E+06,3.60E+06,4.46E+05,7.00E+05,5.72E+05,4.38E+05,1,1.88,0.23,0.36,0.3,0.23,2.76E+06,5.73E+05,5.05E+05,1,0.21,0.18,5.47,6,3,3,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,82448,Disabled homolog 2 OS=Homo sapiens GN=DAB2 PE=1 SV=3,0.78,4.30,1.13,4.82,P98082,DAB2,HUMAN
2164,12634,sp|Q9P265|DIP2B_HUMAN,5.63,87.03,8.51E+04,1.77E+06,1.79E+04,5.31E+04,1.41E+06,1.93E+06,1,20.8,0.21,0.62,16.54,22.68,9.28E+05,3.55E+04,1.67E+06,1,0.04,1.8,47.04,4,4,4,13C(6) 15N(2) Silac label,171491,Disco-interacting protein 2 homolog B OS=Homo sapiens GN=DIP2B PE=1 SV=3,0.01,4.76,0.02,26.14,Q9P265,DIP2B,HUMAN
2410,12767,sp|Q03468|ERCC6_HUMAN,2.95,70.8,1.89E+06,2.81E+06,3.57E+05,8.02E+05,4.80E+05,7.92E+05,1,1.49,0.19,0.42,0.25,0.42,2.35E+06,5.79E+05,6.36E+05,1,0.25,0.27,4.06,3,3,3,Carbamidomethylation,168415,DNA excision repair protein ERCC-6 OS=Homo sapiens GN=ERCC6 PE=1 SV=1,0.74,5.30,0.91,4.06,Q03468,ERCC6,HUMAN
2514,13212,sp|Q2NKX8|ERC6L_HUMAN,6.43,58.48,1.79E+06,5.31E+06,0,3.66E+05,1.62E+05,2.27E+05,1,2.96,0,0.2,0.09,0.13,3.55E+06,1.83E+05,1.95E+05,1,0.05,0.05,19.42,4,3,3,13C(6) 15N(2) Silac label,141103,DNA excision repair protein ERCC-6-like OS=Homo sapiens GN=ERCC6L PE=1 SV=1,0.00,#DIV/0!,0.94,19.42,Q2NKX8,ERC6L,HUMAN
2009,12387,sp|P52701|MSH6_HUMAN,1.38,78.56,1.28E+06,2.01E+06,2.56E+05,1.51E+06,1.94E+06,1.97E+06,1,1.57,0.2,1.18,1.52,1.54,1.64E+06,8.81E+05,1.95E+06,1,0.54,1.19,2.22,6,5,5,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,152785,DNA mismatch repair protein Msh6 OS=Homo sapiens GN=MSH6 PE=1 SV=2,0.13,4.99,0.45,1.86,P52701,MSH6,HUMAN
2015,12899,sp|P28340|DPOD1_HUMAN,5.7,77.47,9.18E+05,1.26E+06,7.84E+03,1.25E+05,7.79E+05,6.91E+05,1,1.38,0.01,0.14,0.85,0.75,1.09E+06,6.66E+04,7.35E+05,1,0.06,0.67,16.37,7,8,7,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,123631,DNA polymerase delta catalytic subunit OS=Homo sapiens GN=POLD1 PE=1 SV=2,0.01,117.06,0.09,16.38,P28340,DPOD1,HUMAN
1738,12212,sp|P49005|DPOD2_HUMAN,2.02,106.1,4.48E+06,3.87E+06,1.99E+06,1.71E+06,5.47E+06,2.63E+06,1,0.87,0.44,0.38,1.22,0.59,4.18E+06,1.85E+06,4.05E+06,1,0.44,0.97,2.26,14,5,5,Deamidation (NQ); 13C(6) 15N(4) Silac label,51290,DNA polymerase delta subunit 2 OS=Homo sapiens GN=POLD2 PE=1 SV=1,0.36,2.25,0.46,2.26,P49005,DPOD2,HUMAN
2425,12923,sp|P18887|XRCC1_HUMAN,1.88,62.69,4.13E+06,7.29E+05,3.75E+05,9.12E+05,9.40E+05,6.06E+05,1,0.18,0.09,0.22,0.23,0.15,2.43E+06,6.44E+05,7.73E+05,1,0.27,0.32,3.77,7,3,3,Carbamidomethylation; 13C(6) 15N(2) Silac label,69477,DNA repair protein XRCC1 OS=Homo sapiens GN=XRCC1 PE=1 SV=2,0.40,10.99,0.83,3.77,P18887,XRCC1,HUMAN
513,11376,sp|P25205|MCM3_HUMAN,2.33,146.73,2.33E+07,6.45E+07,9.86E+06,2.92E+07,3.35E+07,3.19E+07,1,2.76,0.42,1.25,1.43,1.37,4.39E+07,1.95E+07,3.27E+07,1,0.44,0.74,2.25,26,20,19,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,90981,DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,0.29,2.37,0.60,2.25,P25205,MCM3,HUMAN
191,11091,sp|P33991|MCM4_HUMAN,2.18,201.26,2.56E+08,1.42E+08,5.83E+07,1.51E+08,1.27E+08,1.54E+08,1,0.56,0.23,0.59,0.5,0.6,1.99E+08,1.05E+08,1.41E+08,1,0.53,0.71,1.9,41,29,29,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,96558,DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5,0.46,4.39,0.75,1.90,P33991,MCM4,HUMAN
