"","ensembl_transcript_short","UTR_ID","alternative_UTR","ensembl_transcript_id","gene_id","V1","V4","V5","V7","hgnc_symbol","ensembl_gene_id"
"956","ENST00000395745","utr_47320","","ENST00000395745.6","DHX30-003","chr3",47805326,47805420,"+","DHX30","ENSG00000132153"
"957","ENST00000395745","utr_47321","","ENST00000395745.6","DHX30-003","chr3",47810657,47810683,"+","DHX30","ENSG00000132153"
"958","ENST00000395806","utr_217632","","ENST00000395806.5","MPRIP-005","chr17",17042760,17042848,"+","MPRIP","ENSG00000133030"
"959","ENST00000395811","utr_217634","","ENST00000395811.9","MPRIP-001","chr17",17042760,17042848,"+","MPRIP","ENSG00000133030"
"960","ENST00000396029","utr_263726","","ENST00000396029.7","ADNP-002","chr20",50930826,50931240,"-","ADNP","ENSG00000101126"
"961","ENST00000396029","utr_263727","","ENST00000396029.7","ADNP-002","chr20",50928651,50928825,"-","ADNP","ENSG00000101126"
"962","ENST00000396029","utr_263728","","ENST00000396029.7","ADNP-002","chr20",50903997,50904001,"-","ADNP","ENSG00000101126"
"963","ENST00000396032","utr_263730","alternative_5_UTR","ENST00000396032.7","ADNP-006","chr20",50930826,50930990,"-","ADNP","ENSG00000101126"
"964","ENST00000396032","utr_263731","alternative_5_UTR","ENST00000396032.7","ADNP-006","chr20",50903997,50904001,"-","ADNP","ENSG00000101126"
"965","ENST00000396062","utr_180869","","ENST00000396062.3","FKBP3-201","chr14",45134457,45134529,"-","FKBP3","ENSG00000100442"
"966","ENST00000396252","utr_115938","","ENST00000396252.6","NBN-002","chr8",90003112,90003228,"-","NBN","ENSG00000104320"
"967","ENST00000396252","utr_115939","","ENST00000396252.6","NBN-002","chr8",89984917,89984973,"-","NBN","ENSG00000104320"
"968","ENST00000396252","utr_115940","","ENST00000396252.6","NBN-002","chr8",89984562,89984733,"-","NBN","ENSG00000104320"
"969","ENST00000396334","utr_45601","","ENST00000396334.7","MYD88-001","chr3",38138478,38138661,"+","MYD88","ENSG00000172936"
"970","ENST00000396354","utr_202972","alternative_5_UTR","ENST00000396354.5","NDE1-001","chr16",15650227,15650294,"+","NDE1","ENSG00000072864"
"971","ENST00000396354","utr_202973","alternative_5_UTR","ENST00000396354.5","NDE1-001","chr16",15664736,15664778,"+","NDE1","ENSG00000072864"
"972","ENST00000396355","utr_202968","","ENST00000396355.5","NDE1-002","chr16",15643267,15643927,"+","NDE1","ENSG00000072864"
"973","ENST00000396355","utr_202969","","ENST00000396355.5","NDE1-002","chr16",15649348,15649469,"+","NDE1","ENSG00000072864"
"974","ENST00000396355","utr_202970","","ENST00000396355.5","NDE1-002","chr16",15664736,15664778,"+","NDE1","ENSG00000072864"
"975","ENST00000396359","utr_115455","","ENST00000396359.1","FABP5-002","chr8",81280867,81281313,"+","FABP5","ENSG00000164687"
"976","ENST00000396359","utr_115456","","ENST00000396359.1","FABP5-002","chr8",81283366,81283388,"+","FABP5","ENSG00000164687"
"977","ENST00000396398","utr_272577","alternative_5_UTR","ENST00000396398.7","NAGA-002","chr22",42070298,42070830,"-","NAGA","ENSG00000198951"
"978","ENST00000397011","utr_96898","","ENST00000397011.2","EIF3B-001","chr7",2354882,2354921,"+","EIF3B","ENSG00000106263"
"979","ENST00000397032","utr_247143","","ENST00000397032.8","PEPD-002","chr19",33521761,33521791,"-","PEPD","ENSG00000124299"
"980","ENST00000397370","utr_261773","","ENST00000397370.3","RBM39-013","chr20",35741941,35742232,"-","RBM39","ENSG00000131051"
"981","ENST00000397370","utr_261774","","ENST00000397370.3","RBM39-013","chr20",35740875,35740887,"-","RBM39","ENSG00000131051"
"982","ENST00000397386","utr_42867","","ENST00000397386.7","LMCD1-201","chr3",8501807,8501980,"+","LMCD1","ENSG00000071282"
"983","ENST00000397386","utr_42868","","ENST00000397386.7","LMCD1-201","chr3",8532737,8532774,"+","LMCD1","ENSG00000071282"
"984","ENST00000398071","utr_61687","","ENST00000398071.4","NOP14-003","chr4",2963320,2963333,"-","NOP14","ENSG00000087269"
"985","ENST00000398137","utr_267071","","ENST00000398137.5","U2AF1-201","chr21",43107451,43107578,"-","U2AF1","ENSG00000160201"
"986","ENST00000398137","utr_267072","","ENST00000398137.5","U2AF1-201","chr21",43104315,43104402,"-","U2AF1","ENSG00000160201"
"987","ENST00000398137","utr_267073","","ENST00000398137.5","U2AF1-201","chr21",43101366,43101432,"-","U2AF1","ENSG00000160201"
"988","ENST00000398137","utr_267074","","ENST00000398137.5","U2AF1-201","chr21",43100453,43100519,"-","U2AF1","ENSG00000160201"
"989","ENST00000398137","utr_267075","","ENST00000398137.5","U2AF1-201","chr21",43095724,43095743,"-","U2AF1","ENSG00000160201"
"990","ENST00000398153","utr_93473","","ENST00000398153.6","HDDC2-002","chr6",125301933,125301975,"-","HDDC2","ENSG00000111906"
"991","ENST00000398155","utr_274567","","ENST00000398155.4","TXLNG-201","chrX",16786432,16786487,"+","TXLNG","ENSG00000086712"
"992","ENST00000398238","utr_224481","","ENST00000398238.8","NSF-001","chr17",46590669,46590775,"+","NSF","ENSG00000073969"
"993","ENST00000398427","utr_150052","","ENST00000398427.6","PPME1-002","chr11",74171322,74171421,"+","PPME1","ENSG00000214517"
"994","ENST00000398473","utr_162816","","ENST00000398473.6","LARP4-002","chr12",50400899,50401010,"+","LARP4","ENSG00000161813"
"995","ENST00000398761","utr_133171","","ENST00000398761.8","MICU1-201","chr10",72626010,72626191,"-","MICU1","ENSG00000107745"
"996","ENST00000398761","utr_133172","","ENST00000398761.8","MICU1-201","chr10",72566794,72566794,"-","MICU1","ENSG00000107745"
"997","ENST00000398763","utr_133185","","ENST00000398763.8","MICU1-005","chr10",72523802,72523936,"-","MICU1","ENSG00000107745"
"998","ENST00000398763","utr_133186","","ENST00000398763.8","MICU1-005","chr10",72508155,72508269,"-","MICU1","ENSG00000107745"
"999","ENST00000398763","utr_133187","","ENST00000398763.8","MICU1-005","chr10",72477551,72477603,"-","MICU1","ENSG00000107745"
"1000","ENST00000398947","utr_69080","","ENST00000398947.1","NAA15-002","chr4",139301588,139301777,"+","NAA15","ENSG00000164134"
"1001","ENST00000399121","utr_235141","","ENST00000399121.9","DTNA-001","chr18",34593358,34593538,"+","DTNA","ENSG00000134769"
"1002","ENST00000399121","utr_235142","","ENST00000399121.9","DTNA-001","chr18",34679468,34679592,"+","DTNA","ENSG00000134769"
"1003","ENST00000399121","utr_235143","","ENST00000399121.9","DTNA-001","chr18",34755976,34755976,"+","DTNA","ENSG00000134769"
"1004","ENST00000399433","utr_157416","","ENST00000399433.6","PHB2-201","chr12",6970544,6970623,"-","PHB2","ENSG00000215021"
"1005","ENST00000399440","utr_179289","alternative_5_UTR","ENST00000399440.6","GMPR2-004","chr14",24232872,24232977,"+","GMPR2","ENSG00000100938"
"1006","ENST00000399440","utr_179290","alternative_5_UTR","ENST00000399440.6","GMPR2-004","chr14",24233219,24233253,"+","GMPR2","ENSG00000100938"
"1007","ENST00000399489","utr_174235","","ENST00000399489.5","HMGB1-009","chr13",30463681,30464247,"-","HMGB1","ENSG00000189403"
"1008","ENST00000399494","utr_174238","","ENST00000399494.5","HMGB1-011","chr13",30465073,30465242,"-","HMGB1","ENSG00000189403"
"1009","ENST00000399494","utr_174239","","ENST00000399494.5","HMGB1-011","chr13",30463681,30463694,"-","HMGB1","ENSG00000189403"
"1010","ENST00000399977","utr_111494","","ENST00000399977.8","BIN3-003","chr8",22644755,22644804,"-","BIN3","ENSG00000147439"
"1011","ENST00000399977","utr_111495","","ENST00000399977.8","BIN3-003","chr8",22636938,22636962,"-","BIN3","ENSG00000147439"
"1012","ENST00000400259","utr_3277","","ENST00000400259.5","CDC42-201","chr1",22052627,22052868,"+","CDC42","ENSG00000070831"
"1013","ENST00000400259","utr_3278","","ENST00000400259.5","CDC42-201","chr1",22078429,22078478,"+","CDC42","ENSG00000070831"
"1014","ENST00000400609","utr_302130","","ENST00000400609.3","ABCF1-004","GL000255.2",1826539,1826574,"+","ABCF1","ENSG00000206490"
"1015","ENST00000401473","utr_88391","","ENST00000401473.7","HMGA1-002","chr6",34236873,34236963,"+","HMGA1","ENSG00000137309"
"1016","ENST00000401473","utr_88392","","ENST00000401473.7","HMGA1-002","chr6",34237204,34237317,"+","HMGA1","ENSG00000137309"
"1017","ENST00000401473","utr_88393","","ENST00000401473.7","HMGA1-002","chr6",34240737,34240780,"+","HMGA1","ENSG00000137309"
"1018","ENST00000401707","utr_116906","","ENST00000401707.6","POP1-001","chr8",98117312,98117390,"+","POP1","ENSG00000104356"
"1019","ENST00000401707","utr_116907","","ENST00000401707.6","POP1-001","chr8",98123336,98123337,"+","POP1","ENSG00000104356"
"1020","ENST00000401874","utr_200057","","ENST00000401874.6","TSC2-003","chr16",2047989,2048065,"+","TSC2","ENSG00000103197"
"1021","ENST00000401874","utr_200058","","ENST00000401874.6","TSC2-003","chr16",2048587,2048615,"+","TSC2","ENSG00000103197"
"1022","ENST00000401878","utr_109276","","ENST00000401878.7","RBM33-007","chr7",155644679,155644876,"+","RBM33","ENSG00000184863"
"1023","ENST00000402502","utr_269840","","ENST00000402502.5","AP1B1-004","chr22",29367244,29367275,"-","AP1B1","ENSG00000100280"
"1024","ENST00000402583","utr_225113","","ENST00000402583.5","CBX1-004","chr17",48101268,48101302,"-","CBX1","ENSG00000108468"
"1025","ENST00000402583","utr_225114","","ENST00000402583.5","CBX1-004","chr17",48077005,48077041,"-","CBX1","ENSG00000108468"
"1026","ENST00000402937","utr_272582","","ENST00000402937.1","NAGA-001","chr22",42070763,42070842,"-","NAGA","ENSG00000198951"
"1027","ENST00000402937","utr_272583","","ENST00000402937.1","NAGA-001","chr22",42070298,42070373,"-","NAGA","ENSG00000198951"
"1028","ENST00000403363","utr_272579","alternative_5_UTR","ENST00000403363.5","NAGA-003","chr22",42070763,42070830,"-","NAGA","ENSG00000198951"
"1029","ENST00000403363","utr_272580","alternative_5_UTR","ENST00000403363.5","NAGA-003","chr22",42070298,42070366,"-","NAGA","ENSG00000198951"
"1030","ENST00000403433","utr_14751","","ENST00000403433.5","CHTOP-002","chr1",153634080,153634343,"+","CHTOP","ENSG00000160679"
"1031","ENST00000403433","utr_14752","","ENST00000403433.5","CHTOP-002","chr1",153636572,153636588,"+","CHTOP","ENSG00000160679"
"1032","ENST00000403542","utr_261654","","ENST00000403542.6","RBM39-006","chr20",35741941,35742274,"-","RBM39","ENSG00000131051"
"1033","ENST00000403542","utr_261655","","ENST00000403542.6","RBM39-006","chr20",35740875,35740887,"-","RBM39","ENSG00000131051"
"1034","ENST00000403810","utr_127922","","ENST00000403810.5","TSC1-003","chr9",132944543,132944633,"-","TSC1","ENSG00000165699"
"1035","ENST00000403810","utr_127923","","ENST00000403810.5","TSC1-003","chr9",132935033,132935095,"-","TSC1","ENSG00000165699"
"1036","ENST00000403810","utr_127924","","ENST00000403810.5","TSC1-003","chr9",132928873,132928952,"-","TSC1","ENSG00000165699"
"1037","ENST00000403890","utr_95294","","ENST00000403890.7","NUP43-005","chr6",149746496,149746560,"-","NUP43","ENSG00000120253"
"1038","ENST00000403994","utr_193064","","ENST00000403994.7","TPM1-002","chr15",63042750,63042829,"+","TPM1","ENSG00000140416"
"1039","ENST00000404115","utr_280156","","ENST00000404115.7","CUL4B-001","chrX",120575406,120575794,"-","CUL4B","ENSG00000158290"
"1040","ENST00000404115","utr_280157","","ENST00000404115.7","CUL4B-001","chrX",120574618,120574630,"-","CUL4B","ENSG00000158290"
"1041","ENST00000404366","utr_49543","alternative_5_UTR","ENST00000404366.7","ACY1-003","chr3",51983477,51983584,"+","ACY1","ENSG00000243989"
"1042","ENST00000404366","utr_49544","alternative_5_UTR","ENST00000404366.7","ACY1-003","chr3",51984047,51984064,"+","ACY1","ENSG00000243989"
"1043","ENST00000404484","utr_193090","","ENST00000404484.8","TPM1-012","chr15",63048467,63048575,"+","TPM1","ENSG00000140416"
"1044","ENST00000404621","utr_172971","","ENST00000404621.5","NCOR2-002","chr12",124535565,124535603,"-","NCOR2","ENSG00000196498"
"1045","ENST00000404621","utr_172972","","ENST00000404621.5","NCOR2-002","chr12",124495252,124495368,"-","NCOR2","ENSG00000196498"
"1046","ENST00000405140","utr_111999","","ENST00000405140.7","CLU-004","chr8",27611146,27611431,"-","CLU","ENSG00000120885"
"1047","ENST00000405140","utr_112000","","ENST00000405140.7","CLU-004","chr8",27610572,27610600,"-","CLU","ENSG00000120885"
"1048","ENST00000405198","utr_269835","","ENST00000405198.5","AP1B1-001","chr22",29367244,29367275,"-","AP1B1","ENSG00000100280"
"1049","ENST00000405201","utr_172969","","ENST00000405201.5","NCOR2-005","chr12",124495252,124495252,"-","NCOR2","ENSG00000196498"
"1050","ENST00000405520","utr_263166","","ENST00000405520.5","UBE2C-201","chr20",45812576,45812695,"+","UBE2C","ENSG00000175063"
"1051","ENST00000405737","utr_174701","alternative_5_UTR","ENST00000405737.2","ELF1-002","chr13",41060838,41061440,"-","ELF1","ENSG00000120690"
"1052","ENST00000405737","utr_174702","alternative_5_UTR","ENST00000405737.2","ELF1-002","chr13",40982055,40982282,"-","ELF1","ENSG00000120690"
"1053","ENST00000405805","utr_174229","","ENST00000405805.5","HMGB1-012","chr13",30616671,30617597,"-","HMGB1","ENSG00000189403"
"1054","ENST00000405805","utr_174230","","ENST00000405805.5","HMGB1-012","chr13",30463681,30463694,"-","HMGB1","ENSG00000189403"
"1055","ENST00000406207","utr_22319","","ENST00000406207.4","TBCE-201","chr1",235367360,235367552,"+","TBCE","ENSG00000116957"
"1056","ENST00000406207","utr_22320","","ENST00000406207.4","TBCE-201","chr1",235380019,235380049,"+","TBCE","ENSG00000116957"
"1057","ENST00000406576","utr_56565","","ENST00000406576.7","EIF2A-003","chr3",150546787,150546802,"+","EIF2A","ENSG00000144895"
"1058","ENST00000406934","utr_271618","","ENST00000406934.5","EIF3L-002","chr22",37849481,37850063,"+","EIF3L","ENSG00000100129"
"1059","ENST00000406934","utr_271619","","ENST00000406934.5","EIF3L-002","chr22",37851280,37851411,"+","EIF3L","ENSG00000100129"
"1060","ENST00000406969","utr_268424","","ENST00000406969.5","MED15-005","chr22",20507618,20507735,"+","MED15","ENSG00000099917"
"1061","ENST00000406969","utr_268425","","ENST00000406969.5","MED15-005","chr22",20537117,20537126,"+","MED15","ENSG00000099917"
"1062","ENST00000407215","utr_224900","","ENST00000407215.7","SCRN2-002","chr17",47841208,47841289,"-","SCRN2","ENSG00000141295"
"1063","ENST00000408998","utr_32719","alternative_5_UTR","ENST00000408998.1","WDR33-005","chr2",127810749,127810953,"-","WDR33","ENSG00000136709"
"1064","ENST00000408998","utr_32720","alternative_5_UTR","ENST00000408998.1","WDR33-005","chr2",127770982,127771004,"-","WDR33","ENSG00000136709"
"1065","ENST00000409001","utr_36376","","ENST00000409001.5","SSFA2-004","chr2",181891985,181892066,"+","SSFA2","ENSG00000138434"
"1066","ENST00000409064","utr_29783","alternative_5_UTR","ENST00000409064.5","KDM3A-002","chr2",86441461,86441488,"+","KDM3A","ENSG00000115548"
"1067","ENST00000409064","utr_29784","alternative_5_UTR","ENST00000409064.5","KDM3A-002","chr2",86442018,86442047,"+","KDM3A","ENSG00000115548"
"1068","ENST00000409104","utr_127304","","ENST00000409104.7","SET-003","chr9",128685083,128685167,"+","SET","ENSG00000119335"
"1069","ENST00000409136","utr_36427","","ENST00000409136.5","SSFA2-009","chr2",181910505,181910616,"+","SSFA2","ENSG00000138434"
"1070","ENST00000409249","utr_28890","","ENST00000409249.5","LOXL3-005","chr2",74552635,74552647,"-","LOXL3","ENSG00000115318"
"1071","ENST00000409296","utr_74472","","ENST00000409296.7","IPO11-002","chr5",62418884,62419013,"+","IPO11","ENSG00000086200"
"1072","ENST00000409330","utr_115956","","ENST00000409330.5","NBN-003","chr8",89984208,89984404,"-","NBN","ENSG00000104320"
"1073","ENST00000409330","utr_115957","","ENST00000409330.5","NBN-003","chr8",89982722,89982855,"-","NBN","ENSG00000104320"
"1074","ENST00000409330","utr_115958","","ENST00000409330.5","NBN-003","chr8",89981449,89981523,"-","NBN","ENSG00000104320"
"1075","ENST00000409361","utr_37671","","ENST00000409361.5","PPIL3-007","chr2",200888949,200889136,"-","PPIL3","ENSG00000240344"
"1076","ENST00000409361","utr_37672","","ENST00000409361.5","PPIL3-007","chr2",200887616,200887685,"-","PPIL3","ENSG00000240344"
"1077","ENST00000409400","utr_32575","","ENST00000409400.1","BIN1-011","chr2",127106944,127107278,"-","BIN1","ENSG00000136717"
"1078","ENST00000409429","utr_28902","","ENST00000409429.5","DOK1-006","chr2",74549026,74549172,"+","DOK1","ENSG00000115325"
"1079","ENST00000409429","utr_28903","","ENST00000409429.5","DOK1-006","chr2",74555154,74555453,"+","DOK1","ENSG00000115325"
"1080","ENST00000409429","utr_28904","","ENST00000409429.5","DOK1-006","chr2",74555575,74555631,"+","DOK1","ENSG00000115325"
"1081","ENST00000409449","utr_37674","","ENST00000409449.5","PPIL3-008","chr2",200889244,200889303,"-","PPIL3","ENSG00000240344"
"1082","ENST00000409449","utr_37675","","ENST00000409449.5","PPIL3-008","chr2",200887616,200887685,"-","PPIL3","ENSG00000240344"
"1083","ENST00000409465","utr_37060","alternative_5_UTR","ENST00000409465.5","STAT1-011","chr2",191013525,191013955,"-","STAT1","ENSG00000115415"
"1084","ENST00000409465","utr_37061","alternative_5_UTR","ENST00000409465.5","STAT1-011","chr2",191010004,191010004,"-","STAT1","ENSG00000115415"
"1085","ENST00000409469","utr_108358","","ENST00000409469.5","CUL1-001","chr7",148697914,148698278,"+","CUL1","ENSG00000055130"
"1086","ENST00000409469","utr_108359","","ENST00000409469.5","CUL1-001","chr7",148729962,148730122,"+","CUL1","ENSG00000055130"
"1087","ENST00000409500","utr_108129","","ENST00000409500.7","GSTK1-007","chr7",143263429,143263513,"+","GSTK1","ENSG00000197448"
"1088","ENST00000409512","utr_33394","alternative_5_UTR","ENST00000409512.5","KYNU-002","chr2",142877664,142877736,"+","KYNU","ENSG00000115919"
"1089","ENST00000409512","utr_33395","alternative_5_UTR","ENST00000409512.5","KYNU-002","chr2",142881345,142881430,"+","KYNU","ENSG00000115919"
"1090","ENST00000409512","utr_33396","alternative_5_UTR","ENST00000409512.5","KYNU-002","chr2",142885349,142885367,"+","KYNU","ENSG00000115919"
"1091","ENST00000409534","utr_74477","","ENST00000409534.1","IPO11-004","chr5",62578821,62578935,"+","IPO11","ENSG00000086200"
"1092","ENST00000409534","utr_74478","","ENST00000409534.1","IPO11-004","chr5",62591577,62591637,"+","IPO11","ENSG00000086200"
"1093","ENST00000409549","utr_28895","alternative_5_UTR","ENST00000409549.5","LOXL3-004","chr2",74552635,74553084,"-","LOXL3","ENSG00000115318"
"1094","ENST00000409556","utr_29761","","ENST00000409556.5","KDM3A-001","chr2",86440801,86440962,"+","KDM3A","ENSG00000115548"
"1095","ENST00000409556","utr_29762","","ENST00000409556.5","KDM3A-001","chr2",86441272,86441444,"+","KDM3A","ENSG00000115548"
"1096","ENST00000409556","utr_29763","","ENST00000409556.5","KDM3A-001","chr2",86442018,86442047,"+","KDM3A","ENSG00000115548"
"1097","ENST00000409643","utr_40832","","ENST00000409643.5","PSMD1-003","chr2",231056894,231057025,"+","PSMD1","ENSG00000173692"
"1098","ENST00000409658","utr_32716","","ENST00000409658.7","WDR33-002","chr2",127811012,127811171,"-","WDR33","ENSG00000136709"
"1099","ENST00000409658","utr_32717","","ENST00000409658.7","WDR33-002","chr2",127770982,127771004,"-","WDR33","ENSG00000136709"
"1100","ENST00000409714","utr_35213","","ENST00000409714.7","PPIG-005","chr2",169584353,169584490,"+","PPIG","ENSG00000138398"
"1101","ENST00000409714","utr_35214","","ENST00000409714.7","PPIG-005","chr2",169603642,169603694,"+","PPIG","ENSG00000138398"
"1102","ENST00000409714","utr_35215","","ENST00000409714.7","PPIG-005","chr2",169604026,169604041,"+","PPIG","ENSG00000138398"
"1103","ENST00000409986","utr_28897","","ENST00000409986.5","LOXL3-003","chr2",74553876,74553961,"-","LOXL3","ENSG00000115318"
"1104","ENST00000409986","utr_28898","","ENST00000409986.5","LOXL3-003","chr2",74552635,74552646,"-","LOXL3","ENSG00000115318"
"1105","ENST00000410015","utr_33398","","ENST00000410015.6","KYNU-004","chr2",142877666,142877736,"+","KYNU","ENSG00000115919"
"1106","ENST00000410015","utr_33399","","ENST00000410015.6","KYNU-004","chr2",142885349,142885367,"+","KYNU","ENSG00000115919"
"1107","ENST00000410063","utr_25957","","ENST00000410063.5","GALM-003","chr2",38666117,38666161,"+","GALM","ENSG00000143891"
"1108","ENST00000410115","utr_33352","alternative_5_UTR","ENST00000410115.5","HNMT-002","chr2",137964020,137964157,"+","HNMT","ENSG00000150540"
"1109","ENST00000410115","utr_33353","alternative_5_UTR","ENST00000410115.5","HNMT-002","chr2",137964482,137964491,"+","HNMT","ENSG00000150540"
"1110","ENST00000411419","utr_137164","alternative_5_UTR","ENST00000411419.6","CTBP2-011","chr10",125160827,125161026,"-","CTBP2","ENSG00000175029"
"1111","ENST00000411419","utr_137165","alternative_5_UTR","ENST00000411419.6","CTBP2-011","chr10",125110990,125111093,"-","CTBP2","ENSG00000175029"
"1112","ENST00000411419","utr_137166","alternative_5_UTR","ENST00000411419.6","CTBP2-011","chr10",125039055,125039155,"-","CTBP2","ENSG00000175029"
"1113","ENST00000411819","utr_26711","","ENST00000411819.1","MSH6-006","chr2",47784181,47784238,"+","MSH6","ENSG00000116062"
"1114","ENST00000411819","utr_26712","","ENST00000411819.1","MSH6-006","chr2",47790927,47790963,"+","MSH6","ENSG00000116062"
"1115","ENST00000411827","utr_3287","","ENST00000411827.1","CDC42-004","chr1",22053297,22053433,"+","CDC42","ENSG00000070831"
"1116","ENST00000411827","utr_3288","","ENST00000411827.1","CDC42-004","chr1",22078429,22078478,"+","CDC42","ENSG00000070831"
"1117","ENST00000411985","utr_282746","","ENST00000411985.5","BRCC3-007","chrX",155071518,155071527,"+","BRCC3","ENSG00000185515"
"1118","ENST00000412012","utr_301146","","ENST00000412012.5","BAG6-001","GL000254.2",2994296,2994577,"-","BAG6","ENSG00000234651"
"1119","ENST00000412012","utr_301147","","ENST00000412012.5","BAG6-001","GL000254.2",2993630,2993642,"-","BAG6","ENSG00000234651"
"1120","ENST00000412331","utr_271599","","ENST00000412331.6","EIF3L-001","chr22",37848868,37849320,"+","EIF3L","ENSG00000100129"
"1121","ENST00000412443","utr_300802","","ENST00000412443.6","ABCF1-002","GL000254.2",1915439,1915533,"+","ABCF1","ENSG00000236342"
"1122","ENST00000412543","utr_122194","","ENST00000412543.5","UBAP2-005","chr9",34048878,34048949,"-","UBAP2","ENSG00000137073"
"1123","ENST00000412543","utr_122195","","ENST00000412543.5","UBAP2-005","chr9",34017149,34017189,"-","UBAP2","ENSG00000137073"
"1124","ENST00000412738","utr_261722","","ENST00000412738.5","RBM39-017","chr20",35741941,35742113,"-","RBM39","ENSG00000131051"
"1125","ENST00000412738","utr_261723","","ENST00000412738.5","RBM39-017","chr20",35740875,35740887,"-","RBM39","ENSG00000131051"
"1126","ENST00000412992","utr_302531","","ENST00000412992.5","BAG6-014","GL000255.2",2907713,2907964,"-","BAG6","ENSG00000096155"
"1127","ENST00000412992","utr_302532","","ENST00000412992.5","BAG6-014","GL000255.2",2907575,2907587,"-","BAG6","ENSG00000096155"
"1128","ENST00000413295","utr_160709","","ENST00000413295.6","DNM1L-007","chr12",32679320,32679363,"+","DNM1L","ENSG00000087470"
"1129","ENST00000413379","utr_252960","","ENST00000413379.7","SAE1-001","chr19",47130829,47130930,"+","SAE1","ENSG00000142230"
"1130","ENST00000413437","utr_278444","","ENST00000413437.1","CSTF2-004","chrX",100820536,100820617,"+","CSTF2","ENSG00000101811"
"1131","ENST00000413469","utr_28900","alternative_5_UTR","ENST00000413469.1","LOXL3-007","chr2",74555612,74555690,"-","LOXL3","ENSG00000115318"
"1132","ENST00000413469","utr_28901","alternative_5_UTR","ENST00000413469.1","LOXL3-007","chr2",74552635,74552646,"-","LOXL3","ENSG00000115318"
"1133","ENST00000413491","utr_28443","","ENST00000413491.5","SMYD5-003","chr2",73214222,73214266,"+","SMYD5","ENSG00000135632"
"1134","ENST00000413507","utr_193123","","ENST00000413507.3","LACTB-002","chr15",63121833,63121871,"+","LACTB","ENSG00000103642"
"1135","ENST00000413635","utr_38291","","ENST00000413635.5","ABI2-011","chr2",203328395,203328514,"+","ABI2","ENSG00000138443"
"1136","ENST00000413726","utr_37861","","ENST00000413726.5","CASP8-023","chr2",201258118,201258154,"+","CASP8","ENSG00000064012"
"1137","ENST00000413726","utr_37862","","ENST00000413726.5","CASP8-023","chr2",201266461,201266486,"+","CASP8","ENSG00000064012"
"1138","ENST00000413917","utr_96897","","ENST00000413917.5","EIF3B-003","chr7",2354867,2354921,"+","EIF3B","ENSG00000106263"
"1139","ENST00000413922","utr_301140","","ENST00000413922.6","BAG6-003","GL000254.2",2994113,2994250,"-","BAG6","ENSG00000234651"
"1140","ENST00000413922","utr_301141","","ENST00000413922.6","BAG6-003","GL000254.2",2993630,2993642,"-","BAG6","ENSG00000234651"
"1141","ENST00000414208","utr_302539","","ENST00000414208.5","BAG6-011","GL000255.2",2908046,2908134,"-","BAG6","ENSG00000096155"
"1142","ENST00000414208","utr_302540","","ENST00000414208.5","BAG6-011","GL000255.2",2907575,2907587,"-","BAG6","ENSG00000096155"
"1143","ENST00000414241","utr_5110","","ENST00000414241.7","RBBP4-011","chr1",32651142,32651306,"+","RBBP4","ENSG00000162521"
"1144","ENST00000414294","utr_252966","","ENST00000414294.6","SAE1-006","chr19",47130859,47130930,"+","SAE1","ENSG00000142230"
"1145","ENST00000414307","utr_35227","alternative_5_UTR","ENST00000414307.5","PPIG-004","chr2",169584647,169584899,"+","PPIG","ENSG00000138398"
"1146","ENST00000414307","utr_35228","alternative_5_UTR","ENST00000414307.5","PPIG-004","chr2",169603642,169603694,"+","PPIG","ENSG00000138398"
"1147","ENST00000414307","utr_35229","alternative_5_UTR","ENST00000414307.5","PPIG-004","chr2",169604026,169604041,"+","PPIG","ENSG00000138398"
"1148","ENST00000414316","utr_271611","","ENST00000414316.5","EIF3L-007","chr22",37849420,37849449,"+","EIF3L","ENSG00000100129"
"1149","ENST00000414658","utr_268397","","ENST00000414658.5","MED15-010","chr22",20507582,20507746,"+","MED15","ENSG00000099917"
"1150","ENST00000414658","utr_268398","","ENST00000414658.5","MED15-010","chr22",20518878,20518995,"+","MED15","ENSG00000099917"
"1151","ENST00000414658","utr_268399","","ENST00000414658.5","MED15-010","chr22",20537117,20537126,"+","MED15","ENSG00000099917"
"1152","ENST00000414675","utr_60661","","ENST00000414675.6","LRCH3-003","chr3",197791264,197791278,"+","LRCH3","ENSG00000186001"
"1153","ENST00000414834","utr_160687","","ENST00000414834.6","DNM1L-201","chr12",32679200,32679465,"+","DNM1L","ENSG00000087470"
"1154","ENST00000414834","utr_160688","","ENST00000414834.6","DNM1L-201","chr12",32701415,32701517,"+","DNM1L","ENSG00000087470"
"1155","ENST00000414884","utr_103369","alternative_5_UTR","ENST00000414884.1","ASNS-016","chr7",97871719,97872158,"-","ASNS","ENSG00000070669"
"1156","ENST00000414884","utr_103370","alternative_5_UTR","ENST00000414884.1","ASNS-016","chr7",97869778,97869813,"-","ASNS","ENSG00000070669"
"1157","ENST00000414884","utr_103371","alternative_5_UTR","ENST00000414884.1","ASNS-016","chr7",97869157,97869179,"-","ASNS","ENSG00000070669"
"1158","ENST00000414983","utr_39306","","ENST00000414983.5","ARPC2-007","chr2",218217202,218217254,"+","ARPC2","ENSG00000163466"
"1159","ENST00000414983","utr_39307","","ENST00000414983.5","ARPC2-007","chr2",218217463,218217470,"+","ARPC2","ENSG00000163466"
